year,month,day,tokenized_words,happiness_score,oov_words,match_count,date,year_month
2015,1,20,existential animation,,"['existential', 'animation']",0,2015-01-20,2015-01
2016,4,3,acpt standings puzzle,,"['acpt', 'standings', 'puzzle']",0,2016-04-03,2016-04
2017,8,26,huntergatherers,,['huntergatherers'],0,2017-08-26,2017-08
2018,6,27,volgograd stalin lurks sideline,,"['volgograd', 'stalin', 'lurks', 'sideline']",0,2018-06-27,2018-06
2019,8,6,quentin tarantinos goddess gogo,,"['quentin', 'tarantinos', 'goddess', 'gogo']",0,2019-08-06,2019-08
2020,5,15,reopening warily,,"['reopening', 'warily']",0,2020-05-15,2020-05
2021,2,8,babysitting,,['babysitting'],0,2021-02-08,2021-02
2022,3,18,defi,,['defi'],0,2022-03-18,2022-03
2023,8,22,waldorfs iconic statue rebirth iceland,,"['waldorfs', 'iconic', 'statue', 'rebirth', 'iceland']",0,2023-08-22,2023-08
2024,6,18,stopandshop runways,,"['stopandshop', 'runways']",0,2024-06-18,2024-06
2025,7,1,strands sidekick,,"['strands', 'sidekick']",0,2025-07-01,2025-07
