year,month,day,tokenized_words,happiness_score,oov_words,match_count,date,year_month
2016,9,30,boulanger commits suicide,1.3,"['boulanger', 'commits']",1,2016-09-30,2016-09
2020,2,26,taliban terrorist,1.3,['taliban'],1,2020-02-26,2020-02
2020,5,19,pandemic sparking suicide,1.3,"['pandemic', 'sparking']",1,2020-05-19,2020-05
2019,10,25,grandchild terrorist,1.3,['grandchild'],1,2019-10-25,2019-10
2015,3,9,blocking paths suicide,1.3,"['blocking', 'paths']",1,2015-03-09,2015-03
2023,1,1,terrorist,1.3,[],1,2023-01-01,2023-01
2015,8,3,teenagers medication suicide,1.3,"['teenagers', 'medication']",1,2015-08-03,2015-08
2021,1,9,fingerprints terrorist,1.3,['fingerprints'],1,2021-01-09,2021-01
2022,9,27,assisted suicide accessible,1.3,"['assisted', 'accessible']",1,2022-09-27,2022-09
2021,3,10,fraudulent seduction rape,1.44,"['fraudulent', 'seduction']",1,2021-03-10,2021-03
2015,11,6,deaths suicide,1.47,[],2,2015-11-06,2015-11
2018,2,16,martinis murder,1.48,['martinis'],1,2018-02-16,2018-02
2016,3,24,overreacting terrorism,1.48,['overreacting'],1,2016-03-24,2016-03
2018,1,21,homegrown terrorism,1.48,['homegrown'],1,2018-01-21,2018-01
2022,10,22,monkeys mysteries murder,1.48,"['monkeys', 'mysteries']",1,2022-10-22,2022-10
