year,month,day,tokenized_words,happiness_score,oov_words,match_count,date,year_month
2015,7,28,prescription happiness,8.44,['prescription'],1,2015-07-28,2015-07
2015,7,3,happiness cone,8.44,['cone'],1,2015-07-03,2015-07
2015,7,18,dangers happiness,8.44,['dangers'],1,2015-07-18,2015-07
2016,7,29,overcoming obstacles love,8.42,"['overcoming', 'obstacles']",1,2016-07-29,2016-07
2015,2,24,outpouring love onesies,8.42,"['outpouring', 'onesies']",1,2015-02-24,2015-02
2016,12,9,syria love,8.42,['syria'],1,2016-12-09,2016-12
2016,8,24,love bollywood,8.42,['bollywood'],1,2016-08-24,2016-08
2018,11,30,luckenbooth scotlands love brooch,8.42,"['luckenbooth', 'scotlands', 'brooch']",1,2018-11-30,2018-11
2015,1,29,love valerie steele,8.42,"['valerie', 'steele']",1,2015-01-29,2015-01
2015,2,13,love,8.42,[],1,2015-02-13,2015-02
2020,3,6,shortcuts love,8.42,['shortcuts'],1,2020-03-06,2020-03
2019,1,12,autocrats love emergencies,8.42,"['autocrats', 'emergencies']",1,2019-01-12,2019-01
2020,10,2,love lockdown,8.42,['lockdown'],1,2020-10-02,2020-10
2019,7,6,love peach cobbler,8.42,"['peach', 'cobbler']",1,2019-07-06,2019-07
2015,6,25,love kurt elling,8.42,"['kurt', 'elling']",1,2015-06-25,2015-06
