word,happiness_average,happiness_standard_deviation
fucking,4.64,2.926
fuckin,3.86,2.7405
fucked,3.56,2.7117
pussy,4.8,2.665
whiskey,5.72,2.6422
slut,3.57,2.63
cigarettes,3.31,2.5997
fuck,4.14,2.5794
mortality,4.38,2.5546
cigarette,3.09,2.5163
motherfuckers,2.51,2.4675
churches,5.7,2.4599
motherfucking,2.64,2.4558
capitalism,5.16,2.4524
porn,4.18,2.4302
summer,6.4,2.3905
beer,5.92,2.3891
execution,3.1,2.3889
wines,6.28,2.3737
zombies,4.0,2.3733
aids,4.28,2.3477
capitalist,4.84,2.3418
revenge,3.71,2.3363
mcdonalds,5.98,2.3342
beatles,6.44,2.3313
islam,4.68,2.325
pay,5.3,2.3234
alcohol,5.2,2.3212
muthafuckin,3.0,2.3094
christ,6.16,2.3067
motherfuckin,2.58,2.3043
burger,6.18,2.3008
thunder,5.06,2.2983
whores,3.4,2.2946
naked,5.9,2.2879
#iphone,5.58,2.2865
liquor,5.36,2.2836
radiation,3.45,2.2827
wolves,4.65,2.2781
recall,4.6,2.2768
walmart,5.34,2.2733
socialism,4.96,2.2727
marriage,6.7,2.27
bombs,2.86,2.2679
christianity,5.92,2.2663
vodka,5.56,2.2602
crazy,4.64,2.2566
sushi,5.4,2.2497
god's,5.8,2.2497
drunk,3.88,2.2464
