word,happiness_average,happiness_standard_deviation
terrorist,1.3,0.9091
suicide,1.3,0.8391
rape,1.44,0.7866
terrorism,1.48,0.9089
murder,1.48,1.015
death,1.54,1.2811
cancer,1.54,1.073
killed,1.56,1.2316
kill,1.56,1.0529
died,1.56,1.198
torture,1.58,1.0515
raped,1.64,1.4251
deaths,1.64,1.1386
arrested,1.64,1.0053
killing,1.7,1.359
die,1.74,1.192
terror,1.76,1.0012
jail,1.76,1.0214
kills,1.78,1.2337
war,1.8,1.4142
murdered,1.8,1.6288
killings,1.8,1.5386
fatal,1.8,1.5253
tortured,1.82,1.4241
abused,1.83,1.3101
cruel,1.84,1.1493
sickness,1.84,1.1843
failed,1.84,0.9971
cry,1.84,1.2835
violence,1.86,1.05
sadness,1.88,1.1891
diseases,1.88,0.9398
abuse,1.88,1.2395
wars,1.9,1.3286
earthquake,1.9,1.1995
depressing,1.9,1.2164
evil,1.9,1.2817
poison,1.94,1.1502
fail,1.96,1.0294
disaster,1.96,1.428
bomb,1.96,1.2771
depression,1.98,1.5583
criminal,1.98,1.2696
headache,1.98,1.1156
tumors,1.98,1.3461
poverty,1.98,1.1156
punishment,2.0,1.3401
killers,2.0,1.5253
illness,2.0,1.178
disease,2.0,1.3093
