word,happiness_average,happiness_standard_deviation
laughter,8.5,0.9313
happiness,8.44,0.9723
love,8.42,1.1082
happy,8.3,0.9949
laughed,8.26,1.1572
laugh,8.22,1.3746
laughing,8.2,1.1066
laughs,8.18,1.1551
excellent,8.18,1.1008
joy,8.16,1.0568
successful,8.16,1.0759
win,8.12,1.0812
rainbow,8.1,0.9949
smile,8.1,1.0152
won,8.1,1.2164
pleasure,8.08,0.9655
smiled,8.08,1.066
rainbows,8.06,1.3603
winning,8.04,1.049
celebration,8.02,1.5318
enjoyed,8.02,1.5318
healthy,8.02,1.0593
music,8.02,1.1156
celebrating,8.0,1.1429
congratulations,8.0,1.6288
weekend,8.0,1.2936
celebrate,7.98,1.1516
comedy,7.98,1.1516
jokes,7.98,0.9792
rich,7.98,1.3169
victory,7.98,1.0784
holidays,7.96,1.261
loving,7.96,1.0093
loved,7.96,1.1599
loves,7.96,1.3696
fun,7.96,1.3087
christmas,7.96,1.293
free,7.96,1.261
friendship,7.96,1.1241
beach,7.94,1.0577
hahaha,7.94,1.5572
kissing,7.94,1.1323
sunshine,7.94,1.1678
paradise,7.92,1.3974
butterflies,7.92,1.077
vacation,7.92,1.9042
sweetest,7.92,1.2911
friends,7.92,1.1925
outstanding,7.92,1.14
funny,7.92,1.0467
